Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan,22,63,63,2206,381,903,.422,24,92,.261,268,331,.810,40,171,211,128,48,17,123,162,1054
2,Andrea Bargnani,26,31,31,1032,209,484,.432,34,115,.296,151,173,.873,24,148,172,61,18,15,69,52,603
3,James Johnson,24,62,40,1561,233,518,.450,19,60,.317,81,115,.704,74,218,292,122,71,84,101,177,566
4,Jose Calderon,30,53,53,1799,218,477,.457,59,159,.371,60,68,.882,19,141,160,468,47,3,104,94,555
5,Leandro Barbosa,29,42,0,946,198,454,.436,40,111,.360,76,91,.835,21,58,79,63,36,7,68,101,512
6,Linas Kleiza,27,49,3,1057,165,410,.402,62,179,.346,81,100,.810,42,157,199,46,23,4,64,119,473
7,Amir Johnson,24,64,43,1553,196,340,.576,2,5,.400,58,84,.690,149,259,408,79,33,69,94,209,452
8,Ed Davis,22,66,9,1534,172,335,.513,0,1,.000,71,106,.670,134,304,438,60,40,63,67,156,415
9,Jerryd Bayless,23,31,11,705,117,276,.424,44,104,.423,75,88,.852,8,58,66,118,24,4,53,70,353
10,Gary Forbes,26,48,2,713,112,271,.413,29,83,.349,66,91,.725,27,75,102,54,24,4,54,56,319
11,Aaron Gray,27,49,40,813,83,161,.516,0,0,,25,47,.532,83,198,281,27,22,17,51,127,191
12,Alan Anderson,29,17,12,461,55,142,.387,24,61,.393,29,34,.853,8,26,34,26,5,3,25,35,163
13,Rasual Butler,32,34,14,453,41,133,.308,21,77,.273,7,12,.583,6,60,66,19,7,5,15,39,110
14,Ben Uzoh,23,16,8,357,33,94,.351,0,1,.000,11,19,.579,17,46,63,59,16,3,19,30,77
15,Anthony Carter,36,24,0,209,17,53,.321,5,17,.294,8,10,.800,5,28,33,34,8,4,17,20,47
16,Jamaal Magloire,33,34,1,374,17,45,.378,0,0,,7,27,.259,25,88,113,6,4,10,22,66,41
17,Solomon Alabi,23,14,0,122,13,36,.361,0,0,,7,8,.875,15,32,47,3,2,9,5,11,33
18,Justin Dentmon,26,4,0,72,8,22,.364,2,10,.200,4,6,.667,0,7,7,9,1,0,6,8,22